threshold,start,end
0.01,2024-02-05 12:24:41.605915+09:00,2024-02-05 12:24:42.521258+09:00
0.03,2024-02-05 12:24:41.831370+09:00,2024-02-05 12:24:42.385872+09:00
0.05,2024-02-05 12:24:41.921224+09:00,2024-02-05 12:24:42.378324+09:00
0.07,2024-02-05 12:24:41.921224+09:00,2024-02-05 12:24:42.378324+09:00
0.09,2024-02-05 12:24:41.951560+09:00,2024-02-05 12:24:42.378324+09:00
0.11,2024-02-05 12:24:41.966224+09:00,2024-02-05 12:24:42.250932+09:00
0.13,2024-02-05 12:24:41.966224+09:00,2024-02-05 12:24:42.250932+09:00
0.15,2024-02-05 12:24:41.966224+09:00,2024-02-05 12:24:42.250932+09:00
0.17,2024-02-05 12:24:42.003429+09:00,2024-02-05 12:24:42.198650+09:00
0.19,2024-02-05 12:24:42.003429+09:00,2024-02-05 12:24:42.198650+09:00
0.21,2024-02-05 12:24:42.011168+09:00,2024-02-05 12:24:42.078777+09:00
