threshold,start,end
0.01,2024-02-05 12:24:28.961062+09:00,2024-02-05 12:24:30.078537+09:00
0.03,2024-02-05 12:24:28.991092+09:00,2024-02-05 12:24:29.613475+09:00
0.05,2024-02-05 12:24:29.006361+09:00,2024-02-05 12:24:29.553540+09:00
0.07,2024-02-05 12:24:29.006361+09:00,2024-02-05 12:24:29.553540+09:00
0.09,2024-02-05 12:24:29.006361+09:00,2024-02-05 12:24:29.500800+09:00
0.11,2024-02-05 12:24:29.066397+09:00,2024-02-05 12:24:29.500800+09:00
0.13,2024-02-05 12:24:29.066397+09:00,2024-02-05 12:24:29.500800+09:00
0.15,2024-02-05 12:24:29.081180+09:00,2024-02-05 12:24:29.374215+09:00
0.17,2024-02-05 12:24:29.081180+09:00,2024-02-05 12:24:29.208626+09:00
0.19,2024-02-05 12:24:29.096345+09:00,2024-02-05 12:24:29.208626+09:00
0.21,2024-02-05 12:24:29.096345+09:00,2024-02-05 12:24:29.156345+09:00
