,mean_x,mean_y,mean_z,mean_xyz,var_x,var_y,var_z,var_xyz,std_x,std_y,std_z,std_xyz,max_x,max_y,max_z,max_xyz,min_x,min_y,min_z,min_xyz,median_x,median_y,median_z,median_xyz,range_x,range_y,range_z,range_xyz,peak_frequency_x,peak_frequency_y,peak_frequency_z,peak_frequency_xyz,peak_amplitude_x,peak_amplitude_y,peak_amplitude_z,peak_amplitude_xyz,integral_energy_x,integral_energy_y,integral_energy_z,integral_energy_xyz,move,label
マル1,-0.8044115149456522,0.7423361073369565,-0.3416907269021739,1.3710503503242137,0.20284357954288473,0.18645251180363961,0.4276835494771572,0.25209391218381305,0.45038159325496946,0.43180147267423674,0.6539751902611881,0.5020895459814047,0.26171875,3.2724609375,0.58251953125,4.044331609298358,-2.16845703125,0.3896484375,-1.8369140625,0.8725740317167455,-0.873046875,0.707763671875,-0.4375,1.2800379364328602,2.43017578125,2.8828125,2.41943359375,3.1717575775816127,0,0,0,0,1369.2168054580688,1166.0490884780884,247.04840183258057,3977.6124975706985,37.16005611419678,28.175036787986755,23.802385091781616,89.13747799396515,True,マル
マル2,-0.822568359375,0.723583984375,-0.353154296875,1.2940924567232965,0.1956832112312317,0.2501525712013245,0.2600577240943909,0.35612866566896484,0.44236095129569436,0.5001525479304534,0.509958551349412,0.5967651679421017,0.29443359375,4.06640625,0.34912109375,5.020754297776699,-2.529296875,0.14892578125,-1.556640625,0.8419046355131096,-0.81005859375,0.67041015625,-0.347900390625,1.19287925346355,2.82373046875,3.91748046875,1.90576171875,4.178849662263589,0,0,0,0,1691.5467646121979,1308.9344561100006,311.7948935031891,4186.688216370343,39.99149775505066,30.125023007392883,18.062295079231262,88.1788158416748,True,マル
マル3,-0.8895670572916666,0.6996968587239584,-0.3583577473958333,1.3217463742463564,0.3026321464114719,0.31045092631959254,0.2659432970815235,0.5413384106245444,0.5501201199842375,0.5571812329212036,0.5156969042776226,0.7357570323310164,0.08154296875,4.03173828125,0.33349609375,5.135348850238357,-3.69970703125,-0.49658203125,-1.95458984375,0.48188238828464774,-0.809814453125,0.6142578125,-0.23291015625,1.1749144802282694,3.78125,4.5283203125,2.2880859375,4.653466461953709,0,0,0,0,1823.2232818603516,1127.982399225235,295.880313873291,4025.1190529281284,48.96488356590271,29.998762130737305,16.96363091468811,95.92727661132812,True,マル
マル4,-0.9603389616935484,0.6755922379032258,-0.2921339465725806,1.357811905264135,0.19891387738992972,0.30119064819304175,0.2550581223510679,0.37552751385882116,0.4459976203859497,0.5488083893245818,0.5050327933422422,0.6128029975928815,-0.1630859375,3.2109375,0.5380859375,4.060148174607432,-2.546875,-0.45751953125,-1.3134765625,0.9842468662730456,-0.94091796875,0.52880859375,-0.27783203125,1.226151610149572,2.3837890625,3.66845703125,1.8515625,3.075901308334387,0,0,1,0,886.2831354141235,438.6243019104004,106.29252915225003,1771.7506964440174,32.16754949092865,18.20528781414032,9.416910767555237,59.78974807262421,True,マル
マル5,-1.0203503024193548,0.6366399949596774,-0.2891570060483871,1.4108737490400414,0.20505098199993219,0.4118942152573091,0.3164371278109833,0.47285458631431654,0.45282555360749266,0.6417898528781124,0.5625274462734982,0.6876442294634025,-0.01806640625,3.947265625,0.802734375,4.862496455958627,-2.52783203125,-0.1572265625,-1.29345703125,0.9406915381333945,-0.978515625,0.51318359375,-0.2490234375,1.2413645963600668,2.509765625,4.1044921875,2.09619140625,3.921804917825232,0,0,1,0,1000.5112648010254,389.50337433815,129.18204904168965,1912.932711036821,35.1636403799057,17.368358373641968,11.262489080429077,63.794487833976746,True,マル
バツ1,-0.8501768369932432,0.6582163217905406,-0.4600269214527027,1.3183872341019516,0.3011226333607019,0.39253784497346733,0.3003682982233687,0.6235580264070996,0.5487464199069566,0.6265284071560262,0.5480586631222689,0.7896569042356937,-0.291015625,3.9228515625,0.70458984375,5.755379150985654,-3.71533203125,-0.64501953125,-1.98291015625,0.8588299496677378,-0.65673828125,0.5869140625,-0.4072265625,1.1180846340170645,3.42431640625,4.56787109375,2.6875,4.8965492013179155,0,0,0,0,989.5140955448151,593.1175062656403,289.71430802345276,2379.5203667898577,37.38934624195099,29.475077271461487,18.479970693588257,85.34439420700073,True,バツ
バツ2,-0.9231363932291666,0.6068250868055556,-0.4680447048611111,1.342232775221862,0.4194829778538811,0.6296920393720086,0.20867687390174391,0.8957464004771014,0.6476750557601251,0.793531372645095,0.4568116394114142,0.946438799118623,-0.2236328125,4.58935546875,0.43115234375,6.66758404221435,-4.55859375,-1.4521484375,-1.61669921875,0.8021236426062718,-0.790283203125,0.546875,-0.429443359375,1.068653715372212,4.3349609375,6.04150390625,2.0478515625,5.865460399608078,0,0,0,0,1104.4263174533844,477.23474502563477,283.9093360900879,2334.859114452197,44.87831139564514,34.48132681846619,14.581652045249939,93.94129025936127,True,バツ
バツ3,-0.902130126953125,0.649017333984375,-0.415008544921875,1.3505849864369415,0.2912149569019675,0.6067017978057265,0.29347847308963537,0.7746097803352753,0.5396433608430363,0.7789106481527432,0.5417365347561814,0.8801191853012155,-0.46435546875,4.568359375,0.5615234375,6.048772647198012,-3.63671875,-0.86767578125,-1.57861328125,0.9617445123415277,-0.740966796875,0.58740234375,-0.285888671875,1.1025716108924013,3.17236328125,5.43603515625,2.14013671875,5.087028134856484,0,0,0,0,833.3708963394165,431.3328638076782,176.36566257476807,1867.8577209230064,28.51286494731903,22.313098311424255,13.268341302871704,64.09430456161499,True,バツ
バツ4,-0.9548261088709677,0.6495558215725806,-0.3681483114919355,1.3872014655493685,0.2917272024918793,0.4397782693916504,0.2860045199835834,0.5623309286196635,0.5401177672432923,0.6631578012748175,0.534793904213187,0.7498872772755005,-0.4453125,3.23095703125,0.5986328125,4.300703888213799,-3.51171875,-0.9326171875,-1.37841796875,0.8661985514721839,-0.802734375,0.5732421875,-0.23291015625,1.192781448899532,3.06640625,4.16357421875,1.97705078125,3.4345053367416147,0,0,0,0,876.1368751525879,405.46777749061584,130.247385263443,1849.2791176874457,35.019447684288025,21.37517023086548,12.018271088600159,68.41288900375366,True,バツ
バツ5,-0.9789388020833333,0.6587727864583334,-0.270361328125,1.3943977805206254,0.3234400071038139,0.42181652519438007,0.2939108077685038,0.5602201798937937,0.5687178624799945,0.6494740373520562,0.5421354146046021,0.7484785767767796,-0.4970703125,3.025390625,0.5087890625,4.412047069526738,-3.68115234375,-0.99560546875,-1.17236328125,0.9328919650020996,-0.813720703125,0.64697265625,-0.123046875,1.184629574010875,3.18408203125,4.02099609375,1.68115234375,3.4791551045246387,0,0,1,0,862.4890604019165,390.58342576026917,108.68708590514044,1749.9106532887618,36.08511018753052,20.970242142677307,10.019547462463379,67.0748997926712,True,バツ
